Model Name,Simulation File Name,Legacy Simulation File Name,Simulation Fidelity,Simulation Method,Simulation Condition,Results Type,Results File Type,Simulation Creator,Notes
0062_H_PULMGLN_SVD,0062_H_PULMGLN_SVD_3D_RIGID_VTP.zip,0098_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Guillaume Troianowski,-
0062_H_PULMGLN_SVD,0062_H_PULMGLN_SVD_3D_RIGID_VTU.zip,0098_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Guillaume Troianowski,-
0063_H_PULMGLN_SVD,0063_H_PULMGLN_SVD_3D_RIGID_VTP.zip,0099_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Guillaume Troianowski,-
0063_H_PULMGLN_SVD,0063_H_PULMGLN_SVD_3D_RIGID_VTU.zip,0099_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Guillaume Troianowski,-
0013_H_AO_COA,0013_H_AO_COA_3D_RIGID_VTP.zip,0101_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),John F. LaDisa,-
0013_H_AO_COA,0013_H_AO_COA_3D_RIGID_VTU.zip,0101_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),John F. LaDisa,-
0014_H_AO_COA,0014_H_AO_COA_3D_RIGID_VTP.zip,0102_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),John F. LaDisa,-
0014_H_AO_COA,0014_H_AO_COA_3D_RIGID_VTU.zip,0102_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),John F. LaDisa,-
0015_H_AO_COA,0015_H_AO_COA_3D_RIGID_VTP.zip,0103_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),John F. LaDisa,-
0015_H_AO_COA,0015_H_AO_COA_3D_RIGID_VTU.zip,0103_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),John F. LaDisa,-
0016_H_AO_COA,0016_H_AO_COA_3D_RIGID_VTP.zip,0104_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),John F. LaDisa,-
0016_H_AO_COA,0016_H_AO_COA_3D_RIGID_VTU.zip,0104_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),John F. LaDisa,-
0017_H_AO_COA,0017_H_AO_COA_3D_RIGID_VTP.zip,0105_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),John F. LaDisa,-
0017_H_AO_COA,0017_H_AO_COA_3D_RIGID_VTU.zip,0105_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),John F. LaDisa,-
0018_H_AO_COA,0018_H_AO_COA_3D_RIGID_VTP.zip,0106_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),John F. LaDisa,-
0018_H_AO_COA,0018_H_AO_COA_3D_RIGID_VTU.zip,0106_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),John F. LaDisa,-
0019_H_AO_COA,0019_H_AO_COA_3D_RIGID_VTP.zip,0107_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),John F. LaDisa,-
0019_H_AO_COA,0019_H_AO_COA_3D_RIGID_VTU.zip,0107_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),John F. LaDisa,-
0030_H_ABAO_H,0030_H_ABAO_H_3D_RIGID_VTP.zip,0110_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),KCY Wang,-
0030_H_ABAO_H,0030_H_ABAO_H_3D_RIGID_VTU.zip,0110_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),KCY Wang,-
0020_H_AO_COA,0020_H_AO_COA_3D_RIGID_VTP.zip,0111_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),John F. LaDisa,-
0020_H_AO_COA,0020_H_AO_COA_3D_RIGID_VTU.zip,0111_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),John F. LaDisa,-
0089_H_PULM_ALGS,0089_H_PULM_ALGS_3D_RIGID_VTP.zip,0118_1000_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),-,-
0089_H_PULM_ALGS,0089_H_PULM_ALGS_3D_RIGID_VTU.zip,0118_1000_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),-,-
0064_H_PULMFON_SVD,0064_H_PULMFON_SVD_3D_RIGID_VTP.zip,0125_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),-,-
0064_H_PULMFON_SVD,0064_H_PULMFON_SVD_3D_RIGID_VTU.zip,0125_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),-,-
0065_H_PULMFON_SVD,0065_H_PULMFON_SVD_3D_RIGID_VTP.zip,0126_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),-,-
0065_H_PULMFON_SVD,0065_H_PULMFON_SVD_3D_RIGID_VTU.zip,0126_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),-,-
0021_H_AO_MFS,0021_H_AO_MFS_3D_RIGID_VTP.zip,0129_0000_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),-,-
0021_H_AO_MFS,0021_H_AO_MFS_3D_RIGID_VTU.zip,0129_0000_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),-,-
0022_H_AO_MFS,0022_H_AO_MFS_3D_RIGID_VTP.zip,0130_0000_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),-,-
0022_H_AO_MFS,0022_H_AO_MFS_3D_RIGID_VTU.zip,0130_0000_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),-,-
0023_H_AO_MFS,0023_H_AO_MFS_3D_RIGID_VTP.zip,0131_0000_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),-,-
0023_H_AO_MFS,0023_H_AO_MFS_3D_RIGID_VTU.zip,0131_0000_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),-,-
0091_H_PULM_TOF,0091_H_PULM_TOF_3D_RIGID_VTP.zip,0134_0002_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),-,-
0091_H_PULM_TOF,0091_H_PULM_TOF_3D_RIGID_VTU.zip,0134_0002_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),-,-
0031_H_ABAO_AAA,0031_H_ABAO_AAA_3D_RIGID_VTP.zip,0138_1001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Ana K. Ortiz,-
